id,title,avgscore,backCateName,areaname,avgprice,comments
1407848971,开火泥炉老火锅·宵夜沸腾（长宁凯旋路店）,4.7,重庆火锅,中山公园/江苏路,147.0,88
188848321,左庭右院鲜牛肉火锅（正大乐城店）,4.7,潮汕牛肉火锅,龙华/西岸,99.0,215
1430974609,左庭右院鲜牛肉火锅（新世界城店）,4.7,潮汕牛肉火锅,人民广场/南京路,125.0,439
1750254477,蜀大侠（欧景店）,4.7,四川火锅,滴水湖临港地区,105.0,140
746674239,贵州大黄牛肉火锅（航头路店）,4.7,特色火锅,航头,65.0,161
166041677,左庭右院鲜牛肉火锅（大丸百货店）,4.7,潮汕牛肉火锅,南京东路,127.0,405
150542657,左庭右院鲜牛肉火锅（宝山龙湖店）,4.7,潮汕牛肉火锅,顾村公园,148.0,237
1078425545,汤伯府·骨汤猪肚鸡火锅（虹桥龙湖天街店）,4.7,猪肚鸡火锅,虹桥枢纽,111.0,61
189812127,匠味轩·斑鱼火锅,4.7,鱼火锅,八佰伴,188.0,55
180654167,海底捞火锅（漕宝路店）,4.7,四川火锅,七宝,98.0,124
1623086636,和颜施寿喜烧（五角场万达店）,4.7,综合自助,五角场/大学区,158.0,98
93356786,左庭右院鲜牛肉火锅（金山万达店）,4.7,潮汕牛肉火锅,金山万达,115.0,622
1680219864,吴老幺火锅（鹤洁路店）,4.7,火锅,航头,68.0,483
500862180,大蚝钳途·小龙虾·羊棒骨·精酿啤酒（古美路店）,4.7,烤串,虹梅路,0.0,85
1156652012,猫儿滩火锅（田尚坊店）,4.7,重庆火锅,漕河泾/田林,96.0,125
1883545879,左庭右院鲜牛肉火锅（近铁广场店）,4.7,潮汕牛肉火锅,真北中环,141.0,87
1458676155,左庭右院鲜牛肉火锅（太平洋店）,4.7,潮汕牛肉火锅,徐家汇,131.0,213
1444330359,农家大灶台（地锅鸡）（上南路）,4.7,农家菜,康桥/周浦,59.0,413
119535173,本塘我家酸菜鱼·只做活鱼（青浦店）,4.7,酸菜鱼/水煮鱼,青浦城区,65.0,565
