id,title,avgscore,areaname,backCateName
159988078,星巴克（北京东直门来福士一店）,4.4,东直门,咖啡厅
5699017,星巴克（北京朗琴国际大厦店）,3.9,广外大街,咖啡厅
4692982,星巴克（北京房山悦盛路店）,4.2,长阳镇,咖啡厅
1515612438,星巴克（北京华熙写字楼店）,4.2,五棵松,咖啡厅
159020972,星巴克（五彩城店）,4.4,清河,咖啡厅
5829681,星巴克（北京五道口购物中心店）,4.1,五道口,咖啡厅
2746687,星巴克（北京国奥村店）,4.1,鸟巢/水立方,咖啡厅
119325974,星巴克（德外大街店）,4.2,德外大街,咖啡厅
191437261,星巴克（北京玉泉商业中心店）,4.3,颐和园,咖啡厅
5609796,星巴克（北京永定门店）,4.1,东花园,咖啡厅
175385314,星巴克（北京中粮广场店）,4.3,建国门/北京站,咖啡厅
4504088,星巴克（北京三里河东路店）,4.1,复兴门,咖啡厅
113415346,星巴克（北京万丰路店）,4.3,六里桥/丽泽桥,咖啡厅
52734062,星巴克（北京阜石路第一咖啡店喜隆多店）,4.3,苹果园,咖啡厅
175371606,星巴克（北京新奥购物中心店）,4.5,亚运村,咖啡厅
1614568260,星巴克（北京首都国际机场10店）,4.2,首都机场,咖啡厅
1097261142,星巴克（合生汇店）,4.2,百子湾,咖啡厅
1614568260,星巴克（北京首都国际机场10店）,4.2,首都机场,咖啡厅
1097261142,星巴克（合生汇店）,4.2,百子湾,咖啡厅
175375182,星巴克（古北水镇店）,4.3,司马台长城,咖啡厅
1561152726,星巴克臻选（北京丽泽龙湖店）,4.4,丽泽桥/丰管路,咖啡厅
6244670,星巴克（北京南站第二店）,4.0,北京南站/开阳里,咖啡厅
187139957,星巴克（生命园路店）,4.3,昌平区,咖啡厅
113415346,星巴克（北京万丰路店）,4.3,六里桥/丽泽桥,咖啡厅
178753737,星巴克（北京世东国际店）,4.5,百子湾,咖啡厅
98017351,星巴克臻选（北京望京凯德店）,4.4,望京,咖啡厅
1862007238,星巴克（北京回龙观大街店）,4.1,回龙观,咖啡厅
833281223,星巴克臻选（北京国瑞城2店）,4.4,崇文门,咖啡厅
